City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
146,Sasina,BA,69.78,few clouds,44.7987,16.739,
148,Saint-Augustin,CA,66.85,overcast clouds,51.226,-58.6502,
151,Goderich,CA,78.03,clear sky,43.7501,-81.7165,Harmony Inn
153,Qui Nhon,VN,83.5,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
155,Ferrol,ES,68.36,overcast clouds,43.4832,-8.2369,Parador de Ferrol
156,Prainha,BR,82.96,broken clouds,-1.8,-53.48,Casa Rocha
159,Sarkand,KZ,73.83,overcast clouds,45.41,79.9186,Гостиница Сарканд
160,Kisangani,CD,75.09,broken clouds,0.5167,25.2,Grand Ramela Hotel
162,Shache,CN,74.73,overcast clouds,38.4167,77.2406,Delong Hotel
163,Dingle,PH,79.99,light rain,10.9995,122.6711,SEGAYA PROPERTY
164,Wiarton,CA,80.4,few clouds,44.7407,-81.1332,Waterview On The Bay
166,Biak,ID,75.38,overcast clouds,-0.9131,122.8766,Penginapan Kim
169,Calais,FR,61.75,clear sky,50.9167,1.8333,Cottage Hôtel Restaurant
170,Sulangan,PH,84.49,overcast clouds,11.1373,123.7228,Maia's Beach Resort
171,Cockburn Town,TC,82.11,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
172,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
174,Avarua,CK,77.05,clear sky,-21.2078,-159.775,Paradise Inn
175,Lagoa,PT,72.39,clear sky,39.05,-27.9833,Casa Das Faias
176,Humberto De Campos,BR,78.66,scattered clouds,-2.5983,-43.4611,Pousada do Cabeça
177,Minnedosa,CA,84.76,overcast clouds,50.2453,-99.8436,Kruk Castle Bed & Breakfast
179,Catuday,PH,80.96,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
181,San Jose De Guanipa,VE,78.94,broken clouds,8.8872,-64.1651,HOTEL 283 SUITES
182,Cayenne,GF,86.04,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
183,Sao Filipe,CV,75.07,overcast clouds,14.8961,-24.4956,Hotel Xaguate
184,Pabna,BD,79.66,moderate rain,24.0,89.25,Hotel Dream Palace International
186,Acapulco,MX,87.39,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
187,Khawhai,IN,60.69,overcast clouds,23.3667,93.1167,Homestay Khawhai
191,Sao Miguel Do Araguaia,BR,84.43,scattered clouds,-13.275,-50.1628,Hotel Executivo Palace
193,Bethel,US,77.02,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
196,Celestun,MX,85.33,scattered clouds,20.8667,-90.4,Posada Lilia
197,Hidalgotitlan,MX,87.44,overcast clouds,17.7833,-94.6333,
198,Plastun,RU,68.92,moderate rain,44.7561,136.2939,Gostinitsa Rossiyanochka
199,Vostok,RU,67.87,overcast clouds,46.4856,135.8833,
201,Ambilobe,MG,68.07,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
203,Makakilo City,US,84.52,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
206,Bossangoa,CF,69.31,overcast clouds,6.4926,17.4552,LA PERLE DE BOSTON
207,Nova Olimpia,BR,89.73,scattered clouds,-14.7972,-57.2881,Motel glamour
209,Praya,CV,73.94,overcast clouds,14.9215,-23.5087,LT Aparthotel
