City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
101,Coahuayana,MX,2021-07-29 14:48:27,18.7333,-103.6833,84.0,69,74,1.9
102,General Pico,AR,2021-07-29 14:48:28,-35.6566,-63.7568,52.65,34,0,10.07
103,Porbandar,IN,2021-07-29 14:48:28,21.6422,69.6093,82.38,83,75,9.22
104,Megion,RU,2021-07-29 14:48:28,61.0296,76.1136,55.42,75,80,7.7
105,Poum,NC,2021-07-29 14:48:29,-20.2333,164.0167,70.77,72,55,6.73
106,Viedma,AR,2021-07-29 14:48:29,-40.8135,-62.9967,56.48,31,0,7.47
107,Jiuquan,CN,2021-07-29 14:48:29,39.7432,98.5174,83.08,15,0,7.36
108,Paamiut,GL,2021-07-29 14:48:30,61.994,-49.6678,42.17,92,100,4.56
109,Salisbury,GB,2021-07-29 14:44:27,51.0693,-1.7957,70.47,57,40,13.8
110,La Primavera,CO,2021-07-29 14:48:30,5.4906,-70.4092,82.15,71,68,4.65
111,Port Macquarie,AU,2021-07-29 14:48:31,-31.4333,152.9167,44.56,59,0,6.71
112,Cherskiy,RU,2021-07-29 14:48:31,68.75,161.3,33.24,90,100,16.93
113,Ihosy,MG,2021-07-29 14:48:31,-22.4,46.1167,62.62,82,39,9.26
114,Castro,BR,2021-07-29 14:48:31,-24.7911,-50.0119,43.93,41,4,8.21
115,Sangar,RU,2021-07-29 14:48:32,63.9242,127.4739,55.38,46,58,5.08
116,Prainha,BR,2021-07-29 14:48:32,-1.8,-53.48,77.41,81,100,2.89
117,Tasiilaq,GL,2021-07-29 14:48:33,65.6145,-37.6368,57.36,65,54,1.92
118,Yinchuan,CN,2021-07-29 14:48:33,38.4681,106.2731,86.47,18,0,2.86
119,Devarkonda,IN,2021-07-29 14:48:33,16.7,78.9333,80.71,65,100,18.59
120,Vardo,NO,2021-07-29 14:48:34,70.3705,31.1107,48.4,85,94,7.38
121,Narsaq,GL,2021-07-29 14:48:34,60.9167,-46.05,53.82,72,98,5.39
122,Pevek,RU,2021-07-29 14:48:35,69.7008,170.3133,32.22,98,100,26.17
123,Nishihara,JP,2021-07-29 14:48:35,26.1842,127.7558,80.26,88,20,6.91
124,Rubi,ES,2021-07-29 14:48:35,41.4923,2.033,93.06,56,0,10.0
125,Tura,IN,2021-07-29 14:48:36,25.5198,90.2201,74.41,95,100,5.84
